,city_name,latitude,longitude,max_temp,humidity,cloudiness,wind_speed,country,date
85,Vestmannaeyjar,63.44,-20.27,51.58,85,100,12.1,IS,1596670996
86,Lisala,2.15,21.52,68.58,91,100,0.87,CD,1596670996
87,Tuktoyaktuk,69.45,-133.04,50.0,81,90,9.17,CA,1596670997
88,Linqiong,30.42,103.46,80.6,94,100,6.71,CN,1596670997
89,Inta,66.03,60.17,61.9,79,90,12.26,RU,1596670997
90,St. George's,12.06,-61.75,80.6,83,20,9.17,GD,1596670997
91,Veshenskaya,49.63,41.73,66.99,90,10,7.96,RU,1596670997
92,Vao,-22.67,167.48,69.44,64,0,5.7,NC,1596670998
93,Juneau,58.3,-134.42,57.2,82,75,3.36,US,1596670920
94,Ladário,-19.0,-57.6,75.61,27,0,3.62,BR,1596670998
95,Saint-François,46.42,3.91,59.0,62,0,1.12,FR,1596670999
96,Praia,14.92,-23.51,80.6,78,40,8.05,CV,1596670999
97,Vardø,70.37,31.11,50.2,86,99,12.5,NO,1596670999
98,Cape Town,-33.93,18.42,52.0,81,75,2.24,ZA,1596670993
99,Port Elizabeth,-33.92,25.57,53.6,93,75,8.05,ZA,1596671000
100,Abu Dhabi,24.47,54.37,91.4,79,40,3.36,AE,1596670879
101,Manokwari,-0.87,134.08,80.71,74,94,3.76,ID,1596671000
102,Calabozo,8.92,-67.43,75.34,92,50,0.69,VE,1596671000
103,Rayachoti,14.05,78.75,74.88,81,100,5.37,IN,1596671001
104,Yulara,-25.24,130.99,48.2,76,40,12.75,AU,1596671001
105,Biak,-0.91,122.88,77.95,83,74,4.81,ID,1596671001
106,Provost,52.35,-110.27,82.15,37,0,8.99,CA,1596671002
107,Thompson,55.74,-97.86,84.2,32,40,9.17,CA,1596671002
108,Saint-Ambroise,48.55,-71.33,69.01,82,75,8.05,CA,1596671003
109,Kikwit,-5.04,18.82,80.98,45,71,2.66,CD,1596671003
110,Stony Plain,53.53,-114.0,82.4,39,1,11.41,CA,1596671003
111,Vostok,46.49,135.88,63.09,99,99,2.3,RU,1596671003
112,Pisco,-13.7,-76.22,62.6,77,75,8.05,PE,1596671004
113,Olafsvik,64.89,-23.71,49.78,87,100,12.71,IS,1596671004
114,Kingsport,36.55,-82.56,78.8,65,75,6.93,US,1596671004
115,Tomatlán,19.93,-105.25,85.8,69,29,7.29,MX,1596671005
116,Phan Thiet,10.93,108.1,77.88,89,100,10.18,VN,1596671005
117,Qaanaaq,77.48,-69.36,35.13,77,16,2.33,GL,1596671005
118,Salinas,36.68,-121.66,69.8,60,90,20.8,US,1596671006
119,Orthez,43.49,-0.77,66.2,68,60,3.36,FR,1596671006
120,Boa Vista,2.82,-60.67,80.6,78,20,1.12,BR,1596670789
121,Geraldton,-28.77,114.6,48.2,93,0,8.05,AU,1596671006
122,Nuevitas,21.55,-77.26,78.8,88,2,13.87,CU,1596671007
123,Norman Wells,65.28,-126.83,66.2,59,75,6.93,CA,1596671007
124,Castro,-24.79,-50.01,54.1,83,0,2.48,BR,1596671007
125,Huarmey,-10.07,-78.15,60.33,84,1,8.5,PE,1596671007
126,Veinticinco de Mayo,-35.43,-60.17,62.01,77,33,4.0,AR,1596671008
127,Hirara,24.8,125.28,84.2,83,40,6.93,JP,1596671008
128,Longyearbyen,78.22,15.64,50.74,80,100,1.28,SJ,1596671008
129,Kavieng,-2.57,150.8,85.12,75,66,16.93,PG,1596671008
130,The Valley,18.22,-63.06,82.0,78,0,5.01,AI,1596671009
131,Hasaki,35.73,140.83,84.99,79,75,5.82,JP,1596671009
132,Haines Junction,60.75,-137.51,63.61,41,54,6.11,CA,1596671009
133,Butaritari,3.07,172.79,84.29,74,22,21.16,KI,1596671009
134,Chicama,-7.84,-79.15,61.05,78,1,5.32,PE,1596671009
135,Katsuura,35.13,140.3,84.99,80,2,9.51,JP,1596671010
136,Lima,-12.04,-77.03,60.8,77,90,3.36,PE,1596671010
137,Bengkulu,-3.8,102.27,76.68,80,94,3.2,ID,1596671010
138,Ndélé,8.41,20.65,69.26,95,100,5.59,CF,1596671010
139,Honningsvåg,70.98,25.97,50.95,88,63,3.2,NO,1596671011
140,Atar,20.52,-13.05,91.38,38,0,12.86,MR,1596671011
141,Hilo,19.73,-155.09,82.4,61,75,9.17,US,1596671011
